OBJECTID,RWCOMPKEY,FROM_ADDRE,TO_ADDRESS,ROADNAME,DIR,STRNAME,TYPE,LOCROSSPR,LOCROSSNA,LOCROSSSU,HICROSSPR,HICROSSNA,HICROSSSU,MUNI_NAME,COUNDIST,OWNER_NAME,CORE_CLASS,ROUTE_LBL,LENGTH,PRIORITY_R,ROUTE_UNIQ,CORRIDOR_N,BEGIN_LOCA,BMP,END_LOCATI,EMP,TOTAL_EPDO,EPDO_MILE,TOTAL_KA_C,KA_MILE,JUSTICE40_,PERCENT_JU,OWNER,SHAPELEN
1,20596,1340,1349,BARDSTOWN RD, ,BARDSTOWN,RD, ,CHEROKEE,PKY, ,WINDSOR,PL,LOUISVILLE,8,STATE,MAJOR ARTERIAL,US-31E,5.8,16,056-US-0031E -000,Beuchel Byp / Bardstown Rd / Baxter Ave,Hikes Lane (KY 2052),10.974,E Main St (US 31E),16.774,17471,3012.24137931,41,7.1,1.878,0.3237931,KYTC,187.45805844591
2,16637,1012,1027,S 26TH ST,S,26TH,ST,W,KENTUCKY,ST, ,GREENWOOD,AVE,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,276.472873895433
3,25128,8925,9014,PRESTON HWY, ,PRESTON,HWY, ,CREEK POINTE,TER, ,GILLS,CT,LOUISVILLE,24,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,784.49432921116
4,16462,600,699,E BROADWAY,E,BROADWAY, ,S,HANCOCK,ST,S,CLAY,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,US-150,3.3535,1,056-US-0150  -000,Broadway,S 22nd St (US 31W-001),0.7405,Baxter Ave (US 31E),4.094,19419.4,5792,48,14.30913698,3.353,1,KYTC,586.103275492864
5,18530,2137,2159,DIXIE HWY, ,DIXIE,HWY, ,RATCLIFFE,AVE, ,WINGFIELD,LN,LOUISVILLE,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,155.815070780034
6,29922,3530,3599,TAYLOR BLVD, ,TAYLOR,BLVD, ,HATHAWAY,AVE, ,CARLISLE,AVE,LOUISVILLE,15,STATE,MAJOR ARTERIAL,KY-1865,5.273,5,056-KY-1865  -000,Taylor Blvd / New Cut Rd,Gene Snyder Fwy (KY 841),0.92,Berry Blvd (US 60A),6.193,20222,3835.00853404,51,9.67191352,4.556,0.86402427,KYTC,403.880649575543
7,18631,2200,2299,DIXIE HWY, ,DIXIE,HWY, ,HAROLD,AVE, ,HARDESTY,AVE,LOUISVILLE,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,606.78288629427
8,29181,12900,12999,DIXIE HWY, ,DIXIE,HWY, ,CHISM,RD, ,BRUNER,LN,LOUISVILLE,14,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,322.134315046992
9,18887,700,790,EASTERN PKY, ,EASTERN,PKY, ,ELLSWORTH,AVE,S,PRESTON,ST,LOUISVILLE,15,STATE,MAJOR ARTERIAL,US-60A,3.523,40,056-US-0060A -000,Eastern Pkwy,S 3rd St (KY 1020),3.409,Willow Ave (US 60A),6.932,8026,2278.17201249,22,6.24467783,1.154,0.32756174,KYTC,790.348329247587
10,23190,4330,4339,TAYLOR BLVD, ,TAYLOR,BLVD, ,OAKWOOD,AVE, ,OAKWOOD,AVE,LOUISVILLE,15,STATE,MAJOR ARTERIAL,KY-1865,5.273,5,056-KY-1865  -000,Taylor Blvd / New Cut Rd,Gene Snyder Fwy (KY 841),0.92,Berry Blvd (US 60A),6.193,20222,3835.00853404,51,9.67191352,4.556,0.86402427,KYTC,119.442213983374
11,30884,4406,4415,CANE RUN RD, ,CANE RUN,RD, ,KRISTIN,WAY, ,RICHMONT,RD,LOUISVILLE,1,STATE,MAJOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,190.021719564501
12,17197,1300,1309,S 22ND ST,S,22ND,ST,W,ORMSBY,AVE, ,WILSON,AVE,LOUISVILLE,6,STATE,MAJOR ARTERIAL,US-31W,1.145,8,056-US-0031W -000,S 22nd St / Bernheim Ln,Dixie Hwy (CS-1030F),17.51,Dumesnil St (CS-1010F),18.655,4100,3580.7860262,11,9.6069869,1.145,1,KYTC,276.736843518886
13,16453,800,849,DIXIE HWY, ,DIXIE,HWY, ,MAPLE,ST,W,BRECKINRIDGE,ST,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,2.008,29,056-CS-1030F -000,Dixie Hwy,W Broadway (US 150),0,Bernheim Lane (US 31W),2.008,5174,2576.69322709,13,6.47410359,2.008,1,METRO,861.846782293439
14,9389,8800,8899,SHELBYVILLE RD, ,SHELBYVILLE,RD, ,BELLEMEADE,RD,S,CHADWICK,RD,LOUISVILLE,18,STATE,MAJOR ARTERIAL,US-60,1.413,53,056-US-0060  -000,Shelbyville Rd,Whipps Mill Rd (CS-1005C),6.435,Hurstbourne Pkwy (KY 1747),7.848,2682,1898.08917197,8,5.66171267,0,0,KYTC,1147.10117669617
15,15050,2100,2199,W MAIN ST,W,MAIN,ST, ,DR W J HODGE,ST,N,22ND,ST,LOUISVILLE,5,STATE,MAJOR ARTERIAL,US-31W,1.751,45,056-US-0031W -001,W Main St,N 22nd St (US 150),20.345,S 2nd St (US 31),22.096,3743,2137.635637,10,5.711022,1.751,1,KYTC,480.510312878727
16,22540,4330,4399,S 3RD ST,S,3RD,ST,W,LANSING,AVE, ,I 264 RAMP, ,LOUISVILLE,21,METRO,MINOR ARTERIAL, ,2.667,34,056-CS-1013F -000,S 3rd St (CS-1013F),Southern Pkwy (KY 1020),0,W Kenwood Dr (CS-1257F),2.667,6840,2445.4772971,19,6.79299249,2.797,1,METRO,506.147938682752
17,17060,1200,1219,S 26TH ST,S,26TH,ST,W,OAK,ST, ,DUMESNIL,ST,LOUISVILLE,1,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,303.158851941005
18,27124,4900,4909,DIXIE HWY, ,DIXIE,HWY, ,LEWISTON,DR, ,BRICK KILN,LN,LOUISVILLE,12,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,272.387574118099
19,27424,5600,5999,DIXIE HWY, ,DIXIE,HWY, ,WELBY,RD, ,LOWER HUNTERS,TRCE,LOUISVILLE,12,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,136.943750545918
20,16078,2400,2599,W BROADWAY,W,BROADWAY, ,S,24TH,ST,S,26TH,ST,LOUISVILLE,4,METRO,MAJOR ARTERIAL, ,1.19,3,056-CS-1021F -000,W Broadway,S 22nd St (US 31W-001),0,S 35th St (north leg),1.19,6262,5262.184874,19,15.966387,1.19,1,METRO,952.702561968762
21,8251,3200,3216,HIKES LN, ,HIKES,LN, ,ROSS,BLVD, ,CLINGSTONE,WAY,LOUISVILLE,26,METRO,MINOR ARTERIAL, ,2.399,36,056-CR-1002G -000,Hikes Lane,Buechel Byp (US 31E),0.797,Taylorsville Rd (KY 155),3.196,5776,2407.66986244,15,6.25260525,0.191,0.07961651,METRO,525.191562710491
22,31591,3100,3109,BRECKENRIDGE LN, ,BRECKENRIDGE,LN, ,CHURCHILL PARK,DR, ,BEARGRASS RUN,PL,LOUISVILLE,26,STATE,MINOR ARTERIAL,KY-1932,3.189,37,056-KY-1932  -000,Breckenridge Ln,Six Mile Ln (CR-1002H),1.129,Milford Lane Connector,4.318,7558,2370.02195045,17,5.33082471,0,0,KYTC,1177.75721125521
23,8248,3228,3231,HIKES LN, ,HIKES,LN, ,WHITEHALL,TER, ,EL PATIO,PL,LOUISVILLE,26,METRO,MINOR ARTERIAL, ,2.399,36,056-CR-1002G -000,Hikes Lane,Buechel Byp (US 31E),0.797,Taylorsville Rd (KY 155),3.196,5776,2407.66986244,15,6.25260525,0.191,0.07961651,METRO,48.883063514843
24,23967,5070,5074,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,HANSES,DR, ,ROEDERER,DR,LOUISVILLE,2,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,323.362364315846
25,24581,3200,3299,OUTER LOOP, ,OUTER,LOOP, ,I 65 RAMP, , ,I 65 RAMP, ,LOUISVILLE,13,STATE,MAJOR ARTERIAL,KY-1065,3.531,42,056-KY-1065  -000,Outer Loop,National Turnpike (KY 1020),2.514,Preston Hwy (KY 61),6.045,7853,2224.01585953,20,5.66411781,3.311,0.9376947,KYTC,775.278490741571
26,27366,5300,5314,DIXIE HWY, ,DIXIE,HWY, ,KURZ,WAY, ,FLINTLOCK,DR,LOUISVILLE,12,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,461.340304757863
27,29941,3500,3999,PRESTON HWY, ,PRESTON,HWY, ,BOURBON,AVE, ,BELMAR,DR,LOUISVILLE,21,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,352.002244162836
28,15250,300,399,S 26TH ST,S,26TH,ST,W,JEFFERSON,ST, ,GREEN,ALY,LOUISVILLE,5,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,253.926948903608
29,22191,2516,2710,CRUMS LN, ,CRUMS,LN, ,SCHAFFNER,DR, ,BURRELL,DR,SHIVELY,3,STATE,MINOR ARTERIAL,KY-2049,1.102,12,056-KY-2049  -000,Crums Lane,Cheviot Drive (CS-1476F),0.618,Dixie Hwy (US 31W),1.72,3658,3319.41923775,11,9.98185118,1.102,1,KYTC,980.236277718923
30,23672,6100,6199,S 3RD ST,S,3RD,ST, ,INVERNESS,AVE, ,ALGER,AVE,LOUISVILLE,21,METRO,PRIMARY COLLECTOR, ,2.667,34,056-CS-1013F -000,S 3rd St (CS-1013F),Southern Pkwy (KY 1020),0,W Kenwood Dr (CS-1257F),2.667,6840,2445.4772971,19,6.79299249,2.797,1,METRO,340.53846867323
31,19273,3300,3499,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,NIGHTINGALE,RD, ,QUARRY HILL,RD,LOUISVILLE,10,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,443.375536837774
32,24308,7115,7299,PRESTON HWY, ,PRESTON,HWY, ,CHATEAU,LN, ,CANAL,ST,LOUISVILLE,24,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,564.548497226157
33,18486,1400,1409,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,EIGELBACH,AVE, ,MAYER,AVE,LOUISVILLE,10,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,369.77406907564
34,21458,3605,3650,CANE RUN RD, ,CANE RUN,RD, ,OLD MILLERS,LN, ,NO STREET NAME, ,LOUISVILLE,3,STATE,MINOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,1218.97499205275
35,27612,4716,4805,GREENWOOD RD, ,GREENWOOD,RD, ,LUCILLE,AVE, ,RUSSELL,AVE,LOUISVILLE,14,STATE,MINOR ARTERIAL,KY-1931,9.06,24,056-KY-1931  -000,Greenwood Rd / St. Andrews Church Rd / Manslick Rd / 7th Street Rd,Terry Road (KY 1727),1.47,Algonquin Pkwy (KY 2054),10.53,24325,2684.8785872,73,8.05739514,7.024,0.77527594,KYTC,101.053138651157
36,18605,1200,1228,ALGONQUIN PKY, ,ALGONQUIN,PKY, ,SHARP,AVE, ,SOUTH,ST,LOUISVILLE,6,STATE,MAJOR ARTERIAL,KY-2054,1.762,13,056-KY-2054  -000,Algonquin Pkwy,S 22nd St (US 31W),1.504,Winkler Ave (US 60A),3.266,5638.85,3200.2553916,15,8.51305335,1.762,1,KYTC,491.223269788036
37,22627,4000,4043,DIXIE HWY, ,DIXIE,HWY, ,7TH STREET,RD, ,GARRS,LN,SHIVELY,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,1042.87461163478
38,29617,4720,4739,CANE RUN RD, ,CANE RUN,RD, ,TEAKWOOD,CIR, ,MELODY ACRES,LN,LOUISVILLE,1,STATE,MAJOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,277.407268904169
39,26414,6000,6413,MANSLICK RD, ,MANSLICK,RD, ,HAZELWOOD,AVE, ,ROSEWOOD,WAY,LOUISVILLE,15,STATE,MINOR ARTERIAL,KY-1931,9.06,24,056-KY-1931  -000,Greenwood Rd / St. Andrews Church Rd / Manslick Rd / 7th Street Rd,Terry Road (KY 1727),1.47,Algonquin Pkwy (KY 2054),10.53,24325,2684.8785872,73,8.05739514,7.024,0.77527594,KYTC,441.841450351019
40,15982,400,499,S 2ND ST,S,2ND,ST,W,LIBERTY,ST,W,MUHAMMAD ALI,BLVD,LOUISVILLE,4,STATE,MAJOR ARTERIAL,KY-1020,0.6271,11,056-KY-1020  -000,S 2nd St,W Broadway (US 150),12.097,W Market St (US 31E/31W),12.7241,2102,3351.93749003,4,6.37856801,0.6271,1,KYTC,708.756048895043
41,29424,13100,13399,DIXIE HWY, ,DIXIE,HWY, ,LANDSTAR,DR, ,PENDLETON,RD,LOUISVILLE,14,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,1312.50255217462
42,17865,1700,1724,S 22ND ST,S,22ND,ST,W,LEE,ST, ,BURWELL,AVE,LOUISVILLE,1,STATE,MAJOR ARTERIAL,US-31W,1.145,8,056-US-0031W -000,S 22nd St / Bernheim Ln,Dixie Hwy (CS-1030F),17.51,Dumesnil St (CS-1010F),18.655,4100,3580.7860262,11,9.6069869,1.145,1,KYTC,372.763788395476
43,22962,4554,4564,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,BISHOP,LN, ,WILLOW,DR,LOUISVILLE,10,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,384.210733259732
44,16278,1000,1099,W BROADWAY,W,BROADWAY, ,S,10TH,ST,S,11TH,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,US-150,3.3535,1,056-US-0150  -000,Broadway,S 22nd St (US 31W-001),0.7405,Baxter Ave (US 31E),4.094,19419.4,5792,48,14.30913698,3.353,1,KYTC,471.464610449448
45,26104,5300,5344,NEW CUT RD, ,NEW CUT,RD, ,FRISBEE,WAY, ,PARK,RD,LOUISVILLE,21,STATE,MAJOR ARTERIAL,KY-1865,5.273,5,056-KY-1865  -000,Taylor Blvd / New Cut Rd,Gene Snyder Fwy (KY 841),0.92,Berry Blvd (US 60A),6.193,20222,3835.00853404,51,9.67191352,4.556,0.86402427,KYTC,1232.42623087172
46,8487,4900,4903,U S HIGHWAY 42, ,U S HIGHWAY 42, , ,GLENVIEW,AVE, ,HOLIDAY MANOR,CTR,NORTHFIELD,16,STATE,MAJOR ARTERIAL,US-42,0.985,44,056-US-0042  -000,Brownsboro Rd / US 42,I-264,5.81,Seminary Dr (KY 22C),6.795,2172,2205.07614213,7,7.10659898,0,0,KYTC,292.850467303679
47,14947,3200,3299,W MARKET ST,W,MARKET,ST,S,32ND,ST,S,33RD,ST,LOUISVILLE,5,METRO,MINOR ARTERIAL, ,1.565,33,056-CS-1006A -000,W Market St (CS-1006A),S 22nd St (US 31W-001),0,S 40th St (CS-1043F),1.565,6500,2472.42297452,18,6.84670978,2.629,1,METRO,352.351745035642
48,22520,4120,4146,PRESTON HWY, ,PRESTON,HWY, ,BRIDEN,AVE, ,I 264 RAMP, ,LOUISVILLE,21,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,403.567172485097
49,14973,199,150,N 22ND ST,N,22ND,ST, ,CROP,ST, ,ROWAN,ST,LOUISVILLE,5,STATE,MAJOR ARTERIAL,US-150,0.741,15,056-US-0150  -000,N 22nd St,Northwestern Pkwy,0,W Main St (US 31W-001),0.741,2292,3093.11740891,6,8.09716599,0.49,0.66126856,KYTC,238.397154188132
50,14859,299,216,N 22ND ST,N,22ND,ST, ,COLUMBIA,ST, ,DUNCAN,ST,LOUISVILLE,5,STATE,MAJOR ARTERIAL,US-150,0.741,15,056-US-0150  -000,N 22nd St,Northwestern Pkwy,0,W Main St (US 31W-001),0.741,2292,3093.11740891,6,8.09716599,0.49,0.66126856,KYTC,241.360351061885
51,5245,3405,3499,BARDSTOWN RD, ,BARDSTOWN,RD, ,HEATHER,LN, ,MEADOW,DR,LOUISVILLE,10,STATE,MAJOR ARTERIAL,US-31E,5.8,16,056-US-0031E -000,Beuchel Byp / Bardstown Rd / Baxter Ave,Hikes Lane (KY 2052),10.974,E Main St (US 31E),16.774,17471,3012.24137931,41,7.1,1.878,0.3237931,KYTC,762.076937578525
52,22439,4200,4299,SOUTHERN PKY, ,SOUTHERN,PKY,W,WHITNEY,AVE,W,LANSING,AVE,LOUISVILLE,15,STATE,MINOR ARTERIAL,KY-1020,1.313,35,056-KY-1020  -000,Southern Pkwy,W Woodlawn Ave (CS-1096F),7.837,S 3rd St (CS-1013F),9.15,3174,2417.3648134,11,8.37776085,1.313,1,KYTC,511.009103406748
53,22452,4100,4119,PRESTON HWY, ,PRESTON,HWY, ,MORGAN,AVE, ,BRIDEN,AVE,LOUISVILLE,21,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,89.052786540484
54,26344,4340,4499,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,SANITA,RD, ,SELINDA,AVE,LOUISVILLE,10,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,1804.46414969658
55,9756,3915,3999,SHEPHERDSVILLE RD, ,SHEPHERDSVILLE,RD, ,BASHFORD,AVE, ,BASHFORD,AVE,WEST BUECHEL,10,STATE,MINOR ARTERIAL,KY-2052,2.908,39,056-KY-2052  -000,Shepherdsville Rd,Fern Valley Rd (KY 1747),1.214,Hikes Lane (KY 2052),4.122,6742,2318.43191197,20,6.87757909,2.908,1,KYTC,43.5409738780611
56,24225,7251,7299,SOUTHSIDE DR, ,SOUTHSIDE,DR, ,WOODMORE,AVE, ,PALATKA,RD,LOUISVILLE,21,STATE,MINOR ARTERIAL,KY-907,4.91,50,056-KY-0907  -000,3rd Street Rd (KY 907),E Pages Ln / Highcrest Ave,2.09,National Turnpike (KY 1020),7,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,532.944207125486
57,15530,3499,3400,RIVER PARK DR, ,RIVER PARK,DR,S,35TH,ST, ,LOUIS COLEMAN JR,DR,LOUISVILLE,5,METRO,PRIMARY COLLECTOR, ,0.676,28,056-CS-1016A -000,River Park Dr (CS-1016A),S 37th St (CS-1078A),0.753,S 30th St (CS-1071F),1.429,5742,2586.48648649,13,5.85585586,2.22,1,METRO,479.026508898701
58,14848,3831,3899,W MARKET ST,W,MARKET,ST,S,39TH,ST,S,39TH,ST,LOUISVILLE,5,METRO,MINOR ARTERIAL, ,1.565,33,056-CS-1006A -000,W Market St (CS-1006A),S 22nd St (US 31W-001),0,S 40th St (CS-1043F),1.565,6500,2472.42297452,18,6.84670978,2.629,1,METRO,212.043260625191
59,8712,3300,3306,HIKES LN, ,HIKES,LN, ,CASA BELLA,CT, ,EL CONQUISTADOR,PL,LOUISVILLE,26,METRO,MINOR ARTERIAL, ,2.399,36,056-CR-1002G -000,Hikes Lane,Buechel Byp (US 31E),0.797,Taylorsville Rd (KY 155),3.196,5776,2407.66986244,15,6.25260525,0.191,0.07961651,METRO,151.923199153027
60,25386,9651,9749,PRESTON HWY, ,PRESTON,HWY, ,I 265 RAMP, , ,I 265 RAMP, ,LOUISVILLE,24,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,541.894646081286
61,28982,7200,7214,DIXIE HWY, ,DIXIE,HWY, ,TEXTILE,AVE, ,ROSE FARM,DR,LOUISVILLE,12,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,234.949355194003
62,29377,5200,5299,GREENWOOD RD, ,GREENWOOD,RD, ,ALYSSUM,DR, ,MANGO,DR,LOUISVILLE,14,STATE,MINOR ARTERIAL,KY-1931,9.06,24,056-KY-1931  -000,Greenwood Rd / St. Andrews Church Rd / Manslick Rd / 7th Street Rd,Terry Road (KY 1727),1.47,Algonquin Pkwy (KY 2054),10.53,24325,2684.8785872,73,8.05739514,7.024,0.77527594,KYTC,864.24033279414
63,18279,2000,2009,S 22ND ST,S,22ND,ST, ,DIXDALE,AVE, ,BERNHEIM,LN,LOUISVILLE,3,STATE,MAJOR ARTERIAL,US-31W,1.145,8,056-US-0031W -000,S 22nd St / Bernheim Ln,Dixie Hwy (CS-1030F),17.51,Dumesnil St (CS-1010F),18.655,4100,3580.7860262,11,9.6069869,1.145,1,KYTC,162.017740687193
64,17970,1725,1799,S 22ND ST,S,22ND,ST, ,BURWELL,AVE, ,VORSTER,AVE,LOUISVILLE,1,STATE,MAJOR ARTERIAL,US-31W,1.145,8,056-US-0031W -000,S 22nd St / Bernheim Ln,Dixie Hwy (CS-1030F),17.51,Dumesnil St (CS-1010F),18.655,4100,3580.7860262,11,9.6069869,1.145,1,KYTC,392.26886899916
65,20647,1543,1564,BARDSTOWN RD, ,BARDSTOWN,RD, ,STEVENS,AVE, ,ALTA,AVE,LOUISVILLE,8,STATE,MAJOR ARTERIAL,US-31E,5.8,16,056-US-0031E -000,Beuchel Byp / Bardstown Rd / Baxter Ave,Hikes Lane (KY 2052),10.974,E Main St (US 31E),16.774,17471,3012.24137931,41,7.1,1.878,0.3237931,KYTC,294.997264829278
66,33757,2740,2799,OUTER LOOP, ,OUTER,LOOP, ,AIR COMMERCE,DR, ,I 65 RAMP, ,LOUISVILLE,13,STATE,MAJOR ARTERIAL,KY-1065,3.531,42,056-KY-1065  -000,Outer Loop,National Turnpike (KY 1020),2.514,Preston Hwy (KY 61),6.045,7853,2224.01585953,20,5.66411781,3.311,0.9376947,KYTC,1799.00525236253
67,29041,7856,7859,ST ANDREWS CHURCH RD, ,ST ANDREWS CHURCH,RD, ,ARNOLDTOWN,RD, ,BIRNAMWOOD,DR,LOUISVILLE,12,STATE,MINOR ARTERIAL,KY-1931,9.06,24,056-KY-1931  -000,Greenwood Rd / St. Andrews Church Rd / Manslick Rd / 7th Street Rd,Terry Road (KY 1727),1.47,Algonquin Pkwy (KY 2054),10.53,24325,2684.8785872,73,8.05739514,7.024,0.77527594,KYTC,259.4166346012
68,16540,900,914,DIXIE HWY, ,DIXIE,HWY, ,GARLAND,AVE, ,GARLAND,AVE,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,2.008,29,056-CS-1030F -000,Dixie Hwy,W Broadway (US 150),0,Bernheim Lane (US 31W),2.008,5174,2576.69322709,13,6.47410359,2.008,1,METRO,151.720240080221
69,21459,3651,3799,CANE RUN RD, ,CANE RUN,RD, ,NO STREET NAME, , ,CAMP GROUND,RD,LOUISVILLE,3,STATE,MINOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,1378.39375041801
70,25788,4000,4022,TAYLOR BLVD, ,TAYLOR,BLVD, ,I 264 RAMP, , ,MANITAU,AVE,LOUISVILLE,21,STATE,MAJOR ARTERIAL,KY-1865,5.273,5,056-KY-1865  -000,Taylor Blvd / New Cut Rd,Gene Snyder Fwy (KY 841),0.92,Berry Blvd (US 60A),6.193,20222,3835.00853404,51,9.67191352,4.556,0.86402427,KYTC,645.116762674459
71,9384,9000,9199,SHELBYVILLE RD, ,SHELBYVILLE,RD, ,CHIPPING,WAY, ,WHITTINGTON,PKY,LOUISVILLE,18,STATE,MAJOR ARTERIAL,US-60,1.413,53,056-US-0060  -000,Shelbyville Rd,Whipps Mill Rd (CS-1005C),6.435,Hurstbourne Pkwy (KY 1747),7.848,2682,1898.08917197,8,5.66171267,0,0,KYTC,837.013064530487
