OBJECTID,RWCOMPKEY,FROM_ADDRE,TO_ADDRESS,ROADNAME,DIR,STRNAME,TYPE,LOCROSSPR,LOCROSSNA,LOCROSSSU,HICROSSPR,HICROSSNA,HICROSSSU,MUNI_NAME,COUNDIST,OWNER_NAME,CORE_CLASS,ROUTE_LBL,LENGTH,PRIORITY_R,ROUTE_UNIQ,CORRIDOR_N,BEGIN_LOCA,BMP,END_LOCATI,EMP,TOTAL_EPDO,EPDO_MILE,TOTAL_KA_C,KA_MILE,JUSTICE40_,PERCENT_JU,OWNER,SHAPELEN
283,25704,7502,7533,3RD STREET RD, ,3RD STREET,RD, ,AUBURN PLACE,DR, ,CLAYBORNE,RD,LOUISVILLE,25,STATE,MINOR ARTERIAL,KY-907,4.91,50,056-KY-0907  -000,3rd Street Rd (KY 907),E Pages Ln / Highcrest Ave,2.09,National Turnpike (KY 1020),7,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,960.759693123589
284,24544,7641,7699,3RD STREET RD, ,3RD STREET,RD, ,CARTLEDGE,CT, ,BAMBERRIE CROSS,RD,LOUISVILLE,25,STATE,MINOR ARTERIAL,KY-907,4.91,50,056-KY-0907  -000,3rd Street Rd (KY 907),E Pages Ln / Highcrest Ave,2.09,National Turnpike (KY 1020),7,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,328.55879871655
285,16429,851,899,S 26TH ST,S,26TH,ST, ,HOWARD,ST, ,GARLAND,AVE,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,450.732556151517
286,10575,5200,5299,SHEPHERDSVILLE RD, ,SHEPHERDSVILLE,RD, ,MANSFIELD,LN, ,REGENT,WAY,LOUISVILLE,2,STATE,MINOR ARTERIAL,KY-2052,2.908,39,056-KY-2052  -000,Shepherdsville Rd,Fern Valley Rd (KY 1747),1.214,Hikes Lane (KY 2052),4.122,6742,2318.43191197,20,6.87757909,2.908,1,KYTC,310.888607029463
287,21454,3300,3399,CANE RUN RD, ,CANE RUN,RD, ,ALGONQUIN,PKY, ,PENWAY,AVE,LOUISVILLE,3,STATE,MINOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,418.006681370517
288,31839,4575,4599,S HURSTBOURNE PKY,S,HURSTBOURNE,PKY, ,HURSTBOURNE CROSSINGS,DR, ,HENDRIK,DR,LOUISVILLE,26,STATE,MAJOR ARTERIAL,KY-1747,1.064,47,056-KY-1747  -000,S Hurstbourne Pkwy,Watterson Trl (CR-1004H),8.519,Six Mile Ln (CR-1002H),9.583,2196,2063.90977444,5,4.69924812,0,0,KYTC,267.29502528423
289,24072,6900,6908,SOUTHSIDE DR, ,SOUTHSIDE,DR, ,STRAWBERRY,LN, ,KENNETH,CT,LOUISVILLE,25,STATE,MINOR ARTERIAL,KY-1020,1.672,50,056-KY-1020  -000,Southside Dr (KY 907/1020),National Turnpike (KY 1020),5.7,W Tenny Ave (KY 1020),7.372,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,327.673364278314
290,12903,4600,4607,BARDSTOWN RD, ,BARDSTOWN,RD, ,BRECKENRIDGE,LN, ,CREWS,DR,LOUISVILLE,2,STATE,MAJOR ARTERIAL,US-31E,1.418,38,056-US-0031E -000,Bardstown Rd,S Hurstbourne Pkwy (KY 1747),7.245,Breckenridge Ln (KY 1932),8.663,3289,2319.46403385,9,6.34696756,0,0,KYTC,427.901972017248
291,12914,3600,3750,S HURSTBOURNE PKY,S,HURSTBOURNE,PKY, ,AMBROSSE,LN, ,HURSTBOURNE RIDGE,BLVD,LOUISVILLE,26,STATE,MAJOR ARTERIAL,KY-1747,1.064,47,056-KY-1747  -000,S Hurstbourne Pkwy,Watterson Trl (CR-1004H),8.519,Six Mile Ln (CR-1002H),9.583,2196,2063.90977444,5,4.69924812,0,0,KYTC,675.315853529116
292,5307,3510,3524,BARDSTOWN RD, ,BARDSTOWN,RD, ,BRAY,AVE, ,BASHFORD MANOR,LN,LOUISVILLE,26,STATE,MAJOR ARTERIAL,US-31E,5.8,16,056-US-0031E -000,Beuchel Byp / Bardstown Rd / Baxter Ave,Hikes Lane (KY 2052),10.974,E Main St (US 31E),16.774,17471,3012.24137931,41,7.1,1.878,0.3237931,KYTC,298.187809486844
