X,Y,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREET,OWNER2,ROUTE,MILEPOINT,DESCRIPTION,TIMES,OWNER,TYPE,INTID,ATMSID
1207288.5,278636.875,807,MPW005718,SIG005718,5TH,MARKET,S,US 31W,21.76,5TH @ MARKET,24 HOURS,KYTC,1, 1671622074214,
1205789.0,278354.25,808,MPW005473,SIG005473,8TH,JEFFERSON,M,,,8TH @ JEFFERSON,24 HOURS,METRO,1, 1672218853327,
1209659.75,278267.9375,809,MPW006070,SIG006070,BROOK,MARKET,S,US 31W,17.567,BROOK @ MARKET,24 HOURS,KYTC,1, 1676407074213,
1205396.25,278933.4375,810,MPW005382,SIG005382,MARKET,ROY WILKINS,S,US 31W,21.356,MARKET @ ROY WILKINS,24 HOURS,KYTC,1, 1688142146207,
1205362.0,278420.71875,811,MPW005375,SIG005375,JEFFERSON,ROY WILKINS,M,,,JEFFERSON @ ROY WILKINS,24 HOURS,METRO,1, 1688333276207,
1194526.75,270176.6875,812,MPW003048,SIG003048,CATALPA,WILSON,M,,,CATALPA @ WILSON,24 HOURS,METRO,1, 1697810117212,
1194215.5,285041.875,813,MPW003018,SIG003018,BANK,35TH,S,KY-3082,0.313,BANK @ 35TH,24 HOURS,KYTC,1, 1718203706447,
1189221.5,274850.5,814,MPW002216,SIG002216,CECIL,GREENWOOD,M,,,CECIL @ GREENWOOD,24 HOURS,METRO,1, 1738810262651,
1204514.125,254581.9375,815,MPW005170,SIG005170,SOUTHERN HEIGHTS,SOUTHERN,S,KY-1020,8.354,SOUTHERN HEIGHTS @ SOUTHERN,24 HOURS,KYTC,1, 1775160516052,
1204521.5,256295.53125,816,MPW005178,SIG005178,SOUTHERN,WHITNEY,S,KY-1020,8.674,SOUTHERN @ WHITNEY,24 HOURS,KYTC,1, 1780160527175,
1209105.5,254298.047499999,817,MPW005966,SIG005966,CRITTENDEN,I 264 RAMP,S,KY-1631,0,CRITTENDEN @ I 264 RAMP,24 HOURS,KYTC,1, 1804213429995,
1224134.375,251892.75,818,MPW007967,SIG007967,GILMORE,POPLAR LEVEL,S,KY-864,10.28,GILMORE @ POPLAR LEVEL,24 HOURS,KYTC,1, 1818825275123,
1195213.5,250985.34375,819,MPW003160,SIG003160,BLUEGRASS,HOBART,S,KY-1931,7.196,BLUEGRASS @ HOBART,24 HOURS,KYTC,1, 1824505722766,
1204035.25,248121.9375,820,MPW005066,SIG005066,SOUTHLAND,3RD,M,,,SOUTHLAND @ 3RD,24 HOURS,METRO,1, 1853360576438,
1204977.5,247983.03125,821,MPW005292,SIG005292,SOUTHLAND,SOUTHSIDE,S,KY-1020,6.975,SOUTHLAND @ SOUTHSIDE,24 HOURS,KYTC,1, 1854560576068,
1221675.5,246846.21875,822,MPW007639,SIG007639,INDIAN,PRESTON,S,KY-61,6.34,INDIAN @ PRESTON,24 HOURS,KYTC,1, 1862231495144,
1207922.875,236325.84375,823,MPW005809,SIG005809,NATIONAL,PATRICK HENRY,S,KY-1020,4.61,NATIONAL @ PATRICK HENRY,24 HOURS,KYTC,1, 1915345354696,
1212671.0,232854.5,824,MPW006526,SIG006526,GRADE,OUTER,S,KY-1065,3.19,GRADE @ OUTER,24 HOURS,KYTC,1, 1943725944815,
1230553.125,224829.03125,825,MPW009028,SIG009028,PRESTON,I 265 RAMP,S,KY-61,1.79,PRESTON @ I 265 RAMP,24 HOURS,KYTC,1, 1984051449996,
1199710.5,254773.578749999,826,MPW004107,SIG004107,TAYLOR,I 264 RAMP,S,KY-1865,5.731,TAYLOR @ I 264 RAMP,24 HOURS,KYTC,1, 2008763929995,
1209178.75,252300.15625,827,MPW005991,SIG005991,CRITTENDEN,NEVADA,M,,,CRITTENDEN @ NEVADA,24 HOURS,METRO,1, 2015313424548,
1199756.3125,231868.282499999,828,MPW017863,SIG017863,CANDLEWORTH,OUTER,S,KY-1065,6.85,CANDLEWORTH @ OUTER,24 HOURS,KYTC,1, 2053213824815,
1216283.03625,243323.103750005,829,MPW006992,SIG006992,GRADE,WORLDPORT,M,,,GRADE @ WORLDPORT,24 HOURS,METRO,1,206552594F275,
1193443.0,256360.282499999,830,MPW002889,SIG002889,PARK,7TH STREET,S,US-60A,0,PARK @ 7TH STREET,24 HOURS,KYTC,1, 2092849655900,
1209365.5,230608.625,831,MPW006029,SIG006029,GLENGARRY,NATIONAL,S,KY-1020,3.45,GLENGARRY @ NATIONAL,24 HOURS,KYTC,1, 2111325564535,
1181044.0,243539.78125,832,MPW001400,SIG001400,LOWER HUNTERS,UPPER HUNTERS,M,,,LOWER HUNTERS @ UPPER HUNTERS,24 HOURS,METRO,1, 2180739696709,
1183283.125,238276.4375,833,MPW001574,SIG001574,GREENWOOD,ST ANDREWS CHURCH,S, US-31W,11.52,GREENWOOD @ ST ANDREWS CHURCH,24 HOURS,KYTC,1, 2294626535780,
